,city,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43
0,Munich,0.0,0.0,0.0,0.0,2.1972245773362196,1.791759469228055,1.0986122886681096,0.0,4.574710978503383,6.602587892189336,7.989221408815276,9.77956697061665,10.344480666703438,10.575615365871998,10.266949413163834,9.874007247213619,9.566545205430295,9.026657889542886,8.813289762469037,8.544419177669829,8.27563105457801,8.07153089355666,7.823245690685523,7.736743682453495,8.175829008714597,8.210124405164267,7.950502434808851,7.8119734296220225,7.9269635448629785,8.215006432761575,8.439231649946526,8.699348067653093,8.93102321585603,9.149740749847252,9.094705028377259,9.01371703047137,9.153134898205403,9.391661428436553,9.451402423792738,9.62231756369957,10.070187728427126,10.574159036330888,11.115547567044683
1,Madrid,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,4.394449154672439,6.920671504248683,9.07015834137632,10.19735048406299,10.891056542410913,10.78773018644139,10.41003403381723,9.967963571720492,9.720705889909716,9.085910293598007,9.064042114358884,8.287528423111763,8.394573477868327,8.204671828950811,7.660114319173928,7.774435510302958,7.76004068088038,7.823645930834952,7.4821189235521155,8.120886021092838,8.7558950816463,9.406482647787449,9.686698766859926,10.159717656838128,10.255973735853406,10.674567524152495,10.882433783774625,10.997154298811223,11.117479992244311,11.20796158528392,11.244287562323809,11.20438741063907,11.172981207855637,11.231212210297691,11.604346272781854
2,Athens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,4.0943445622221,5.093750200806762,5.713732805509369,6.2766434893416445,6.418364935936212,6.013715156042802,4.844187086458591,5.703782474656201,4.74493212836325,4.51085950651685,4.700480365792417,4.060443010546419,3.6888794541139363,4.189654742026425,4.890349128221754,4.976733742420574,4.709530201312334,4.983606621708336,5.568344503761097,5.356586274672012,5.214935757608986,6.045005314036012,6.727431724850855,7.271008538280992,7.329093736246591,7.3758821482150125,7.251344983372214,7.409136443920128,7.57198844937744,7.719129840906732,7.777373602657861,7.81035268372429,7.956827122090111,8.529319371214077
3,Stockholm,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,2.639057329615259,5.111987788356544,6.704414354964107,6.775366090936392,7.493317248862145,8.061486866871327,8.193123721512068,8.250097752572845,8.364042011922063,8.261526448396468,8.327000740241713,8.266164436612492,8.21851757748959,8.34924780056679,8.669914278433902,8.877381954654766,8.877800393882575,8.904765846682814,8.383890344101816,7.77863014732581,7.389563953677635,7.233455418621439,7.353081920515432,7.590852123688581,7.631916513071252,7.434847875211999,7.098375638590786,7.1808311990445555,7.348587530927593,7.627544390488503,7.9672801789422,8.203304026795282,8.360305435879093,8.605387202152153,9.100860271357362
4,Edinburgh,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,1.9459101490553132,0.6931471805599453,3.4657359027997265,5.739792912179234,7.545918151209323,8.61122983334262,9.69683231872672,10.280553186122594,10.393508246868931,10.338058285782946,10.428334417664374,10.367284459872343,10.083305979111964,9.90028242158718,9.735837835974042,9.333442569110167,9.08805973726735,8.860499167616016,8.83695515733143,8.571491964823617,8.360539381370861,8.350193650720067,8.357024439263416,8.438582790834326,8.3243363327069,8.667680024690174,8.94663520890585,8.875985891325971,9.00601857490256,9.3425083355536,9.95280138908905,10.134003858179751,10.56926353629994,10.834489541275977,11.615734728951365,11.64907218464357,11.908899003644777
5,Shanghai,3.4965075614664802,0.0,5.062595033026967,7.480428306074208,9.42641902556827,10.036005932236272,10.352490962658775,9.042040056544483,7.97728198675515,6.786716950605081,5.204006687076795,5.863631175598097,6.570882962339584,6.248042874508429,6.259581464064923,6.561030665896573,4.672828834461906,3.970291913552122,3.4339872044851463,3.9889840465642745,3.713572066704308,3.8066624897703196,4.07753744390572,4.634728988229636,5.583496308781699,5.25227342804663,4.74493212836325,5.3706380281276624,6.023447592961033,6.80128303447162,7.277247726631484,6.740519359606223,6.410174881966167,5.929589143389895,5.3471075307174685,5.093750200806762,4.969813299576001,5.111987788356544,4.820281565605037,5.003946305945459,5.1647859739235145,5.181783550292085,5.14166355650266
6,Singapore,0.0,0.0,0.0,1.6094379124341003,2.70805020110221,3.1354942159291497,3.4965075614664802,2.8903717578961645,2.639057329615259,3.6109179126442243,4.343805421853684,5.389071729816501,5.918893854273146,5.958424693029782,7.01301578963963,8.214465160759186,8.810161268297255,8.487970332739334,8.499640032168648,8.496378051702317,8.21959545417708,8.101374671228582,8.058960017769417,7.890208213109961,7.400620577371135,7.254177846456518,7.257707677160043,7.02108396428914,7.5352967024440884,7.711548979629146,7.872836175025724,7.790696031174738,6.597145701886651,6.406879986069314,6.113682179832232,5.583496308781699,5.929589143389895,5.308267697401205,4.852030263919617,4.7535901911063645,4.204692619390966,3.6635616461296463,4.127134385045092
7,Tokyo,0.0,0.0,0.6931471805599453,1.0986122886681096,2.833213344056216,1.9459101490553132,3.332204510175204,4.394449154672439,4.68213122712422,5.37989735354046,5.786897381366708,5.58724865840025,6.473890696352274,7.364547014255642,8.154212694914229,8.192570471152173,7.945201132412759,7.4133673356952405,6.812345094177479,6.289715570908998,5.583496308781699,5.71042701737487,5.673323267171493,5.666426688112432,5.916202062607435,6.3835066348840055,7.0326242610280065,7.591357046698551,8.052296499538647,8.464003362902119,8.809862805379057,9.278279354984376,8.978660489639687,8.858510813033927,8.615770754777232,8.332308352219117,8.242756345714477,8.143226750367443,8.017637159908478,8.202482446576537,8.181440695719374,8.22817689595132,8.263332667439967
8,Cape Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,3.1354942159291497,5.37989735354046,6.854354502255021,5.988961416889864,6.095824562432225,6.914730892718563,7.191429330036379,7.588829878307813,8.034306936339489,8.504310565585223,8.85209276347713,9.172119159155985,9.616272037895989,9.891617379965641,10.201590142315792,10.574389124148754,10.936280500166944,11.241221723040642,11.370163025602832,11.330467898927434,11.143179755252751,10.817756241458644,10.324366586696646,10.060192111293768,9.64904681386415,9.570389616553864,9.335297611380566,9.345133468317714,9.194515821629212,9.23200401161221,9.321971188147367,9.326878188224134,9.402282172147128
9,Sydney,0.0,0.0,0.0,1.6094379124341003,2.0794415416798357,1.3862943611198906,0.6931471805599453,2.0794415416798357,1.6094379124341003,3.8918202981106265,5.170483995038151,6.745236349484362,7.905441649060286,7.538494999413465,6.401917196727186,5.697093486505405,4.770684624465665,4.394449154672439,4.990432586778736,4.68213122712422,4.2626798770413155,4.382026634673881,4.2626798770413155,3.8712010109078907,4.90527477843843,5.327876168789581,6.582025138892826,7.083387847625295,7.543802867501509,7.828038032125829,8.11162807830774,8.136518252115291,7.757051142032013,7.357556200910353,6.852242569051878,6.493753839851687,5.993961427306569,5.631211781821365,4.882801922586371,4.663439094112067,4.820281565605037,4.941642422609304,4.762173934797756
