,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,46
12,103
13,200
14,135
15,88
16,29
17,17
18,11
19,8
20,4
21,8
22,22
23,50
24,80
25,69
26,127
27,201
28,154
29,266
30,577
31,1149
32,1479
33,1531
34,1783
35,1554
36,1029
37,763
38,712
39,724
40,648
41,574
42,615
