,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,64
11,483
12,4309
13,7546
14,12979
15,14439
16,15118
17,13149
18,9706
19,8217
20,6665
21,4290
22,6471
23,2167
24,1458
25,1606
26,1307
27,1623
28,1937
29,2103
30,2821
31,2582
32,2160
33,2160
34,2869
35,2090
36,2264
37,2714
38,3102
39,4305
40,3956
41,4757
42,6905
