date,n_new_listings
2019-1-1,0
2019-2-1,1771
2019-3-1,2384
2019-4-1,4493
2019-5-1,5247
2019-6-1,4501
2019-7-1,3431
2019-8-1,3827
2019-9-1,5318
2019-10-1,4319
2019-11-1,4562
2019-12-1,4057
2020-1-1,2976
2020-2-1,1204
2020-3-1,0
2020-4-1,1560
2020-5-1,851
2020-6-1,912
2020-7-1,1973
2020-8-1,3034
2020-9-1,4095
2020-10-1,5157
