id,price
44054,$835.00
100213,"$1,203.00"
114384,$602.00
114465,$602.00
128496,$411.00
161902,$552.00
162144,$601.00
279078,$403.00
282825,$743.00
287026,$418.00
317195,$545.00
322292,$438.00
445306,$955.00
456641,$438.00
458561,$481.00
491280,$552.00
498126,$418.00
537674,"$7,998.00"
554123,$418.00
627240,$418.00
685820,$431.00
732687,$318.00
818559,$495.00
818560,$495.00
824570,$488.00
829407,$304.00
851984,$276.00
855090,$255.00
873692,$679.00
906434,$701.00
940126,$622.00
975146,$488.00
1001527,$495.00
1087381,$559.00
1198579,$488.00
1276777,$778.00
1285333,$255.00
1302948,$587.00
1431859,"$2,829.00"
1484562,$85.00
1521874,$170.00
1543047,$297.00
1635589,$198.00
1643534,$375.00
1661849,$757.00
1694369,$693.00
1777848,$502.00
1784379,$163.00
1787002,$198.00
1787751,$602.00
1803017,$297.00
1834479,$120.00
1834587,$120.00
1900447,$920.00
1925662,$269.00
1941773,$389.00
1941997,$368.00
1942067,$389.00
1950055,$601.00
2022824,$396.00
2029856,$290.00
2077431,$290.00
2095350,$318.00
2139790,$318.00
2190095,$948.00
2229512,$198.00
2432965,$403.00
2433033,$403.00
2433122,$503.00
2540862,"$1,273.00"
2556768,"$1,902.00"
2634250,"$1,486.00"
2717860,$283.00
2719982,$283.00
2779504,"$1,062.00"
2779901,$863.00
2797791,$948.00
2834282,$170.00
2889922,$977.00
2989696,$297.00
3015545,$170.00
3069570,$948.00
3077753,$248.00
3105131,$425.00
3114942,"$1,499.00"
3116888,$623.00
3139576,$219.00
3200395,$906.00
3211028,$248.00
3387246,$361.00
3389315,"$1,499.00"
3416332,$318.00
3429464,$990.00
3499185,$616.00
3518354,$269.00
3571646,$403.00
3649223,$269.00
3698598,$580.00
3714901,$389.00
3793864,$601.00
3795645,$878.00
3795992,"$1,153.00"
3796163,$701.00
3802970,$799.00
3803542,$651.00
3804282,$255.00
3813723,$602.00
3821936,$601.00
3863360,$212.00
3866222,$156.00
3949173,"$5,000.00"
3953376,$503.00
3953745,$800.00
3963178,$694.00
3971474,"$1,550.00"
4009069,$651.00
4009332,$651.00
4016289,"$1,047.00"
4018161,$948.00
4018389,"$2,003.00"
4025985,$955.00
4028276,$198.00
4028395,$191.00
4028476,$262.00
4041258,$651.00
4056031,$297.00
4069460,$149.00
4085687,$750.00
4093392,$871.00
4106251,$990.00
4113787,$878.00
4121250,"$1,182.00"
4121354,"$1,578.00"
4121580,$983.00
4152653,"$1,062.00"
4165566,$878.00
4165673,$878.00
4219257,$361.00
4222923,$361.00
4258685,$283.00
4278904,$226.00
4280214,$226.00
4305365,$163.00
4305366,$106.00
4319728,$177.00
4351917,$99.00
4408558,$149.00
4457180,$467.00
4494508,$679.00
4585254,$311.00
4610554,$481.00
4640119,$290.00
4741091,$481.00
4746548,$566.00
4778028,$99.00
4788459,$502.00
4795169,$602.00
4812705,$127.00
4825764,$339.00
4826078,"$3,296.00"
4827732,$418.00
4850257,$134.00
4878955,$212.00
4893362,$340.00
4899894,$481.00
4917080,$205.00
4951287,$226.00
4982247,$340.00
4990531,"$1,607.00"
4995564,$226.00
4998951,"$1,416.00"
5063347,$156.00
5071177,$269.00
5101112,$269.00
5137146,$779.00
5138122,$127.00
5149320,$248.00
5257726,$800.00
5257727,$722.00
5262411,$361.00
5281548,$219.00
5313865,$418.00
5354823,"$1,062.00"
5451456,"$1,499.00"
5491823,$389.00
5512411,$750.00
5517546,$361.00
5517598,$503.00
5517711,$141.00
5572523,$92.00
5573471,$170.00
5577084,$700.00
5594254,$156.00
5608398,$382.00
5611781,"$1,803.00"
5622017,$198.00
5644182,$198.00
5646828,$389.00
5654076,"$1,598.00"
5662819,$99.00
5687029,"$2,999.00"
5709715,$658.00
5722321,$198.00
5741800,$297.00
5777362,$361.00
5778638,$177.00
5796657,$85.00
5828761,$226.00
5839731,$595.00
5841968,$361.00
5863936,$198.00
5875406,$418.00
5887641,$255.00
5894312,$234.00
5905794,$651.00
5921917,$318.00
5982248,$566.00
5982385,$219.00
5993502,$361.00
6006911,$601.00
6019307,$396.00
6058402,$198.00
6067156,$198.00
6073229,$325.00
6086159,$601.00
6094759,$297.00
6095652,$99.00
6115173,$177.00
6121324,$134.00
6130218,$99.00
6134230,"$1,499.00"
6142103,$495.00
6163631,"$2,001.00"
6202834,$255.00
6203040,$113.00
6203323,$269.00
6207089,$396.00
6215542,$297.00
6223892,$389.00
6232044,$396.00
6234325,$326.00
6243028,$396.00
6243357,$396.00
6243409,$885.00
6262650,$177.00
6279324,$418.00
6285956,$240.00
6299067,$240.00
6328369,$240.00
6333514,$297.00
6363475,$325.00
6368255,$396.00
6368283,$595.00
6384359,$814.00
6392123,$311.00
6430022,$226.00
6472338,$219.00
6482182,$269.00
6517740,"$5,000.00"
6545051,$481.00
6577765,"$3,886.00"
6578563,$177.00
6592823,"$2,801.00"
6602344,"$1,577.00"
6616745,$347.00
6619374,"$2,497.00"
6646968,$226.00
6680286,$347.00
6694197,$361.00
6715189,$78.00
6720546,$396.00
6731352,$198.00
6759712,$113.00
6767658,$559.00
6767767,$559.00
6768183,$361.00
6768550,$120.00
6769409,$418.00
6769491,$389.00
6769629,$411.00
6801565,$262.00
6808986,$149.00
6813166,$403.00
6820153,$99.00
6825001,$177.00
6827135,$439.00
6837530,$170.00
6845824,$99.00
6852864,$297.00
6855919,$389.00
6855920,$361.00
6856386,$517.00
6862828,"$1,803.00"
6871885,$418.00
6874842,$587.00
6875342,$255.00
6887869,$212.00
6889629,$240.00
6892408,$460.00
6902700,$198.00
6908156,"$5,499.00"
6914699,$750.00
6921435,$170.00
6956755,"$1,683.00"
6957345,$134.00
6976386,$354.00
6977698,"$1,083.00"
6981222,$240.00
6997017,$283.00
7025859,$269.00
7038567,$297.00
7060869,$248.00
7084189,$601.00
7116591,$354.00
7116658,$467.00
7121445,$637.00
7141954,$170.00
7150743,$71.00
7151567,"$2,398.00"
7152188,"$1,202.00"
7152530,"$1,280.00"
7156047,$629.00
7170741,$219.00
7207262,$191.00
7228731,$382.00
7228735,$156.00
7232427,$212.00
7232455,$750.00
7232987,$701.00
7239103,$651.00
7275326,$85.00
7310859,$78.00
7314236,$269.00
7314671,$269.00
7316815,$248.00
7329311,"$1,111.00"
7332241,$177.00
7339907,"$1,082.00"
7381182,$347.00
7406806,$439.00
7413907,$248.00
7424459,$424.00
7446839,$127.00
7464911,$184.00
7496164,$127.00
7507801,$92.00
7510496,$800.00
7512413,$778.00
7532871,$156.00
7554349,$297.00
7562324,"$2,878.00"
7567979,$219.00
7580605,$163.00
7583592,$651.00
7622284,$616.00
7624575,$170.00
7628534,$425.00
7629201,$248.00
7631324,$361.00
7637782,$495.00
7638107,$99.00
7640968,"$8,048.00"
7641874,$340.00
7641966,$248.00
7656313,"$1,499.00"
7665053,$467.00
7669616,$417.00
7683294,$679.00
7700936,$163.00
7707102,$566.00
7707517,$587.00
7717037,$120.00
7718530,$382.00
7734614,$396.00
7739795,$297.00
7764901,$269.00
7775603,"$10,000.00"
7783061,"$2,398.00"
7829704,$431.00
7830280,$177.00
7852881,"$1,881.00"
7861485,"$1,888.00"
7885739,$757.00
7903151,$389.00
7903152,$361.00
7957575,"$2,001.00"
7975953,$418.00
7982081,$503.00
7989970,$997.00
7991555,$99.00
7995164,$453.00
8006735,$332.00
8017613,$99.00
8018667,$325.00
8026726,$92.00
8034173,$191.00
8038088,$120.00
8039384,$701.00
8044225,$595.00
8054431,$658.00
8061933,$396.00
8062113,$361.00
8090676,$389.00
8092036,$248.00
8106790,$276.00
8121198,$425.00
8125195,$283.00
8133955,$120.00
8139003,"$2,003.00"
8140014,$255.00
8142755,$141.00
8161818,$219.00
8173312,$134.00
8214418,$354.00
8214572,$488.00
8215631,$269.00
8233738,$163.00
8234400,$587.00
8234409,$601.00
8241814,$333.00
8258546,$425.00
8258950,$460.00
8263350,$170.00
8275364,$269.00
8277862,$821.00
8284735,$595.00
8296339,$630.00
8297556,$948.00
8311049,$651.00
8350814,$332.00
8350835,$318.00
8355026,$899.00
8356856,"$1,499.00"
8364030,$276.00
8373140,$495.00
8374640,$120.00
8376074,$283.00
8382773,$120.00
8399489,$127.00
8403690,$149.00
8409496,$240.00
8410505,$248.00
8427478,$240.00
8428291,$262.00
8428573,$127.00
8445786,$425.00
8446330,$297.00
8455203,$127.00
8460024,$467.00
8468223,$255.00
8487643,$113.00
8491998,$517.00
8492135,$573.00
8508255,$255.00
8512073,$170.00
8522571,$92.00
8527293,$297.00
8543084,$269.00
8556955,$396.00
8564769,"$1,591.00"
8570583,$637.00
8622978,$283.00
8655881,$382.00
8660443,$297.00
8673991,$580.00
8689969,$198.00
8691352,$623.00
8691747,$92.00
8691938,$99.00
8692794,$85.00
8695875,"$1,386.00"
8703415,$418.00
8730454,"$5,821.00"
8746811,$134.00
8773401,$219.00
8773553,$290.00
8785199,$523.00
8786229,$552.00
8786445,$559.00
8787628,$573.00
8788133,$559.00
8788262,$566.00
8791379,$120.00
8816270,$198.00
8831021,$318.00
8831650,$311.00
8850238,$99.00
8888557,$396.00
8889646,$71.00
8905492,$460.00
8907561,$347.00
8908329,$432.00
8928162,$531.00
8932932,$432.00
8942688,$92.00
8953707,$226.00
8956254,$198.00
8956855,$432.00
9000125,$410.00
9002580,$170.00
9004687,$198.00
9036240,$679.00
9037354,$417.00
9051747,$297.00
9078701,$127.00
9082982,$566.00
9108529,$318.00
9115864,$78.00
9120361,$149.00
9120416,$163.00
9123693,$354.00
9124603,$134.00
9141061,"$1,345.00"
9142891,$411.00
9157449,$354.00
9157522,"$8,883.00"
9175312,$113.00
9178963,$297.00
9193556,"$1,267.00"
9201594,$78.00
9221577,$163.00
9225708,$354.00
9234191,$990.00
9244025,$149.00
9244383,$170.00
9261435,$198.00
9262157,$191.00
9264425,$779.00
9264826,$679.00
9266752,$212.00
9286580,$198.00
9286892,$219.00
9287119,$276.00
9287701,$241.00
9287765,$276.00
9304104,$389.00
9352934,$488.00
9356642,$241.00
9452138,$453.00
9458281,$453.00
9480688,$651.00
9481024,$672.00
9481684,$573.00
9499206,$481.00
9514359,$92.00
9518581,$290.00
9539592,$198.00
9551660,$297.00
9597873,$672.00
9598128,$517.00
9598637,$262.00
9602459,$389.00
9602857,$418.00
9639275,$587.00
9669691,$849.00
9675164,$85.00
9684141,$460.00
9686270,$425.00
9719973,$198.00
9740333,$269.00
9817294,$368.00
9826203,$382.00
9826367,$899.00
9826444,$580.00
9826907,$701.00
9857796,$297.00
9887849,$297.00
9888238,$283.00
9907598,$85.00
9949262,$120.00
9961623,"$1,061.00"
9962149,$481.00
9980879,$78.00
10024680,$106.00
10027306,$198.00
10028466,$226.00
10028989,$177.00
10052601,$78.00
10081795,$467.00
10094788,$219.00
10106329,$177.00
10106501,$418.00
10106745,$418.00
10107116,$651.00
10109883,$602.00
10114391,$92.00
10114441,$219.00
10115731,$78.00
10120408,$481.00
10127776,"$6,881.00"
10149350,$198.00
10162368,"$2,603.00"
10167100,$283.00
10178867,$651.00
10197034,$198.00
10218438,$269.00
10272873,$431.00
10284408,"$2,666.00"
10369728,$566.00
10375780,$467.00
10399819,$601.00
10400246,$368.00
10416415,$460.00
10417144,$460.00
10446144,$163.00
10481132,$134.00
10486042,$233.00
10488126,$99.00
10488167,$233.00
10527264,$127.00
10528426,$198.00
10531096,$127.00
10532616,$99.00
10574709,$481.00
10577743,$198.00
10602110,$396.00
10617949,$184.00
10670839,$241.00
10687741,$417.00
10691799,$382.00
10691864,$283.00
10711394,$234.00
10730252,$134.00
10734580,$134.00
10741299,$219.00
10750296,$396.00
10758433,$602.00
10758456,$800.00
10781597,$170.00
10814930,$177.00
10841212,$701.00
10866089,$389.00
10867763,$297.00
10867952,$587.00
10868076,$361.00
10868181,$495.00
10868251,$460.00
10875810,$687.00
10898454,$687.00
10913628,$396.00
10938464,$120.00
10976751,$368.00
10996292,$248.00
10999535,$297.00
11003777,$566.00
11027815,$170.00
11049479,$481.00
11169354,$361.00
11219142,$467.00
11232946,$163.00
11246023,$389.00
11278270,$255.00
11283009,$389.00
11283186,$389.00
11283515,$892.00
11306167,$142.00
11307688,$198.00
11325456,$240.00
11326270,$602.00
11351359,$757.00
11373868,$389.00
11380381,$361.00
11420268,$559.00
11424013,$219.00
11424741,$587.00
11427395,$290.00
11443761,$467.00
11443776,$425.00
11450904,$481.00
11451233,$481.00
11468603,$417.00
11493594,$552.00
11497131,$191.00
11505661,$998.00
11518578,$255.00
11522114,$142.00
11534547,$134.00
11535389,$113.00
11535520,$488.00
11537264,$396.00
11539860,$177.00
11541908,$198.00
11543542,$198.00
11555159,$453.00
11557554,$248.00
11575561,$297.00
11609930,"$2,199.00"
11610123,$290.00
11615530,$177.00
11616510,$177.00
11616751,$198.00
11617199,$240.00
11627631,$219.00
11660975,$587.00
11661375,$892.00
11667483,"$1,980.00"
11681625,$701.00
11687677,$474.00
11741454,$120.00
11741477,$156.00
11743836,$813.00
11750472,$120.00
11761999,$212.00
11763153,$658.00
11767549,$396.00
11783243,$219.00
11788106,$99.00
11799633,"$1,280.00"
11803003,$503.00
11829890,$530.00
11829962,$368.00
11859288,$149.00
11874234,$502.00
11877515,$198.00
11878212,$163.00
11893225,$113.00
11911094,$410.00
11911698,$919.00
11934132,$389.00
11934296,$587.00
11936691,"$1,585.00"
11953547,"$2,999.00"
11974420,$396.00
11977870,"$7,800.00"
11978990,$177.00
11990102,$998.00
11992483,$290.00
11993741,$177.00
11994094,$276.00
11994435,$403.00
11994974,$530.00
11996876,$453.00
11998523,$552.00
11998700,$587.00
12010967,$149.00
12011088,$361.00
12011445,$361.00
12011582,$502.00
12030644,$326.00
12035782,$488.00
12043853,$602.00
12043910,$453.00
12061971,$99.00
12064562,$325.00
12078739,$290.00
12078760,$977.00
12092474,$679.00
12100908,$460.00
12105328,$219.00
12117430,"$6,802.00"
12126035,$170.00
12137351,$177.00
12140510,$651.00
12141180,$403.00
12157656,"$1,181.00"
12158319,$127.00
12159007,$446.00
12159080,$446.00
12175246,$701.00
12175268,$149.00
12185018,$403.00
12190198,$78.00
12190316,$99.00
12208762,$396.00
12208853,$191.00
12209541,$120.00
12209843,$120.00
12253489,"$1,499.00"
12253998,"$2,100.00"
12254024,$997.00
12259392,$149.00
12263240,$99.00
12263262,$198.00
12275440,$679.00
12275619,$523.00
12276841,$170.00
12282359,$679.00
12285928,$99.00
12296444,$198.00
12297402,$495.00
12300439,"$12,002.00"
12313436,$771.00
12331885,$149.00
12331913,$170.00
12346506,$389.00
12347186,$233.00
12349262,$495.00
12349605,$601.00
12351244,$898.00
12351436,$651.00
12351683,$361.00
12355847,$517.00
12365779,$389.00
12380158,"$2,999.00"
12391283,$333.00
12393591,$403.00
12412397,$212.00
12412625,$134.00
12422660,$163.00
12435647,"$1,782.00"
12459176,"$5,896.00"
12472368,$255.00
12473567,$800.00
12473769,$198.00
12475136,$679.00
12495108,$495.00
12502352,$198.00
12505630,$120.00
12535640,$396.00
12546429,$198.00
12548209,$863.00
12548319,"$3,798.00"
12550372,$495.00
12573447,$198.00
12580976,$297.00
12593218,$198.00
12597460,$425.00
12598457,$425.00
12599101,$212.00
12618524,$425.00
12630347,$523.00
12653124,$262.00
12654145,"$1,953.00"
12654796,$163.00
12658712,$488.00
12685011,$325.00
12689831,$127.00
12689987,"$70,723.00"
12694385,$177.00
12711376,$566.00
12713687,$127.00
12715854,"$1,203.00"
12716853,"$1,690.00"
12740976,$417.00
12741371,"$1,803.00"
12741519,"$3,982.00"
12750909,$382.00
12776303,$198.00
12783868,"$5,997.00"
12795818,$255.00
12812688,$481.00
12814252,$467.00
12815633,$113.00
12818175,"$1,161.00"
12820498,$799.00
12825197,$502.00
12835304,"$3,847.00"
12838504,$431.00
12840067,$453.00
12854551,"$10,001.00"
12855780,"$1,485.00"
12861365,"$1,987.00"
12875406,$198.00
12876427,$672.00
12879700,$170.00
12882111,$191.00
12893290,$297.00
12905027,$297.00
12907100,$297.00
12917722,$212.00
12918934,$149.00
12920723,$311.00
12927127,"$1,280.00"
12935300,$899.00
12936086,$799.00
12938627,"$1,492.00"
12939559,$191.00
12972599,$701.00
12972646,$163.00
12973203,$318.00
12974808,$156.00
12978182,$389.00
12986942,$248.00
12989896,$269.00
12990613,$566.00
12992562,"$1,628.00"
12992789,$163.00
12992891,$460.00
12993085,"$1,628.00"
12997080,$205.00
13006111,$537.00
13007031,$170.00
13022887,$283.00
13025290,$113.00
13032306,$149.00
13038705,$403.00
13051211,$389.00
13053069,$354.00
13065363,$78.00
13066318,$283.00
13093936,$566.00
13100018,$396.00
13104690,$446.00
13105070,$566.00
13115832,$198.00
