date,avg_price
2019-1-1,745.7937762825904
2019-2-1,743.7276703111859
2019-3-1,750.9799831791421
2019-4-1,757.1051303616484
2019-5-1,765.8259041211102
2019-6-1,763.6216989066443
2019-7-1,769.9396131202691
2019-8-1,777.8735071488646
2019-9-1,779.1463414634146
2019-10-1,781.444575273339
2019-11-1,777.9027754415475
2019-12-1,777.4570227081581
2020-1-1,777.135071488646
2020-2-1,779.157779646762
2020-3-1,781.5165685449958
2020-4-1,783.8383515559293
2020-5-1,785.8215306980657
2020-6-1,807.3624894869638
2020-7-1,832.7536585365854
2020-8-1,858.1448275862069
2020-9-1,883.5359966358285
2020-10-1,908.92716568545
