,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,90
11,747
12,2703
13,9470
14,7585
15,3333
16,2845
17,2567
18,2260
19,2832
20,2737
21,2747
22,2900
23,3803
24,3159
25,6458
26,8990
27,12896
28,13584
29,15868
30,12173
31,11652
32,6519
33,5025
34,5625
35,5196
36,4626
37,3868
38,3817
39,3644
40,4868
41,4282
42,4706
