,new_cases
0,0.0
1,0.0
2,1.0
3,2.0
4,16.0
5,6.0
6,27.0
7,80.0
8,107.0
9,216.0
10,325.0
11,266.0
12,647.0
13,1578.0
14,3477.0
15,3613.0
16,2821.0
17,1657.0
18,908.0
19,538.0
20,265.0
21,301.0
22,290.0
23,288.0
24,370.0
25,591.0
26,1132.0
27,1980.0
28,3140.0
29,4740.0
30,6699.0
31,10702.0
32,7931.0
33,7033.0
34,5517.0
35,4155.0
36,3799.0
37,3439.0
38,3033.0
39,3649.0
40,3573.0
41,3744.0
42,3878.0
