,new_cases
0,0.0
1,0.0
2,0.0
3,0.0
4,1.0
5,0.0
6,0.0
7,0.0
8,13.0
9,165.0
10,815.0
11,875.0
12,1795.0
13,3169.0
14,3615.0
15,3827.0
16,4289.0
17,3871.0
18,4133.0
19,3889.0
20,3708.0
21,4226.0
22,5824.0
23,7167.0
24,7170.0
25,7366.0
26,4375.0
27,2388.0
28,1618.0
29,1384.0
30,1560.0
31,1979.0
32,2062.0
33,1693.0
34,1209.0
35,1313.0
36,1553.0
37,2053.0
38,2884.0
39,3652.0
40,4273.0
41,5460.0
42,8962.0
