,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,58
11,985
12,3547
13,6660
14,9596
15,9505
16,13546
17,17596
18,16242
19,16450
20,16113
21,9956
22,7497
23,5647
24,4358
25,5014
26,5597
27,6675
28,7702
29,9916
30,10558
31,12156
32,12033
33,14182
34,13462
35,16451
36,11958
37,12990
38,13963
39,13861
40,17908
41,25447
42,31334
