,new_cases
0,0.0
1,0.0
2,0.0
3,1.0
4,3.0
5,3.0
6,1.0
7,1.0
8,11.0
9,37.0
10,187.0
11,1058.0
12,4084.0
13,8496.0
14,9419.0
15,10040.0
16,12000.0
17,11373.0
18,10988.0
19,8151.0
20,7757.0
21,6569.0
22,4867.0
23,3353.0
24,2609.0
25,2013.0
26,2284.0
27,2030.0
28,2323.0
29,3885.0
30,3042.0
31,2621.0
32,2683.0
33,2740.0
34,3044.0
35,3822.0
36,4646.0
37,6633.0
38,8897.0
39,12800.0
40,13646.0
41,18204.0
42,17638.0
