,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,6
10,123
11,344
12,1586
13,2504
14,2328
15,2540
16,3535
17,3257
18,3150
19,2258
20,2331
21,2134
22,1750
23,1169
24,1332
25,1673
26,1844
27,2725
28,3197
29,4001
30,3478
31,3057
32,2514
33,2045
34,2158
35,1948
36,1918
37,3449
38,4154
39,4045
40,5087
41,6727
42,9031
