,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,36
11,315
12,1302
13,2390
14,2561
15,4998
16,4361
17,3951
18,4167
19,3842
20,3988
21,3602
22,2963
23,2672
24,3660
25,5501
26,6842
27,8441
28,9340
29,9141
30,8958
31,7817
32,7439
33,6515
34,7460
35,8296
36,6847
37,6904
38,6500
39,8098
40,9842
41,13038
42,16328
