,new_cases
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,2.0
9,11.0
10,108.0
11,1007.0
12,2776.0
13,6374.0
14,10449.0
15,15872.0
16,21910.0
17,38050.0
18,59380.0
19,77203.0
20,114256.0
21,151042.0
22,174397.0
23,177677.0
24,217065.0
25,246088.0
26,263337.0
27,262846.0
28,235010.0
29,319653.0
30,313364.0
31,304535.0
32,304684.0
33,265266.0
34,263791.0
35,276847.0
36,192687.0
37,212553.0
38,189751.0
39,188842.0
40,175804.0
41,141725.0
42,156273.0
