city,lat,long,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10
Munich,48.1548703,11.54184265,-0.29829545454545453,-0.35824915824915826,0.38629441624365485,0.9417009602194787,0.88018765788524,0.7350090854027862,0.4394677052904901,0.19029710417450169,0.5833134114272054,0.7399328859060402
Madrid,40.477853350000004,-3.7034351,-0.3270735524256651,-0.41395450888612595,0.4480502065118275,0.9778788505271863,0.9600147072341207,0.9198085232567991,0.7462897897110493,0.6949440774412977,0.7989168721380768,0.9305284491818046
Athens,37.983941200000004,23.7283052,-0.4611908036942425,-0.41024198086662916,0.35918367346938773,0.9526832083092902,0.9144239491986695,0.8670723461798513,0.6458625058345002,0.4284539473684211,0.5397085503599227,0.671820670267071
Stockholm,59.325117199999994,18.0710935,-0.6082164328657315,-0.5509039010466222,0.2161051766639277,0.8592794017675051,0.8816777041942605,0.8325828898894801,0.73492945703292,0.6808442596738088,0.6218925421010425,0.6089841755997958
Edinburgh,55.9114378,-3.2622419000000002,-0.22502172024326672,-0.17057851239669422,0.32219163717394156,0.9779951100244498,0.9949119689872395,0.9922217943781286,0.8205745224845842,0.5875542691751086,0.5378676754419826,0.8091059764063566
Shanghai,31.2322758,121.4692071,-0.665864363584879,0.8836379848417298,0.8736819219480378,0.787170474516696,0.5115255322554826,0.282103134479272,-0.0073427113927964135,-0.12219676456293828,-0.15823130312719333,0.2315112540192926
Singapore,1.3217606499999999,104.0686731,-0.53125,-0.09370529327610873,0.31926863572433195,0.6490514905149052,0.6218771100607697,0.5401929260450161,0.6240601503759399,0.7235543018335684,0.750365675280351,0.8347368421052631
Tokyo,28.056502799999997,145.02961325,-0.7644542390458906,-0.3871829105473965,0.31125827814569534,0.821159122085048,0.8066322901849218,0.7614864864864865,0.713086642599278,0.6265162200282087,0.653293801538034,0.8487349996178246
Cape Town,-33.928991999999994,18.417396,-0.4351619587741302,-0.45098039215686275,0.07150328040315679,0.9364678899082569,0.9151327262158496,0.8183615198770041,0.7360183639398998,0.6278956747124574,0.5439157670265228,0.6575809199318569
Sydney,-33.76869485,150.8017839,-0.3369899078543221,-0.19781708694015807,0.20802429893338983,0.8252482968070262,0.7581422239352477,0.5081917780681475,0.4209926341634514,0.6208433039029623,0.6062027833001988,0.8331983301140258
Ottawa,45.421105999999995,-75.690308,-0.34400434074877917,-0.4155783582089552,0.18641868512110726,0.784608580274215,0.8275954096610622,0.7319643339637936,0.5567065073041169,0.4578610152784623,0.37334437086092714,0.6975652684071575
Washington D.C.,38.89374135,-77.01456615000001,-0.2497907949790795,-0.4181258873639375,0.41263940520446096,0.919153553988063,0.8742325212913448,0.7460158252535384,0.5624842211562737,0.37448446521858675,0.5658062275726358,0.7568486302739452
Mexico City,19.32049695,-99.1526135,-0.6086102179349768,-0.6626465661641541,-0.154890358510268,0.7980612640558356,0.9445718352178383,0.7316958698372966,0.6027838727372463,0.45868830290736984,0.41524284891533886,0.6373350779631447
Rio de Janeiro,-22.914396449999998,-43.44766655,-0.5506433520290334,-1.0615665449717888,0.18055391868002357,0.8588524590163934,0.8183738120380147,0.7890201085221832,0.6962866637769108,0.4253979359804093,0.3669117647058823,0.6271748135874068
Buenos Aires,-34.61609525,-58.43329585,-0.4805041818824361,-0.5414932001110186,0.1392655646837573,0.9237903996940141,0.9216149214968716,0.9251075011944577,0.9665233415233415,0.9483071053886505,0.9323315118397085,0.960905684964978
