,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,35
10,205
11,1243
12,4172
13,7730
14,8356
15,8539
16,11831
17,11452
18,13064
19,12159
20,13871
21,17873
22,18229
23,20043
24,24969
25,37419
26,54742
27,54819
28,63888
29,68967
30,55503
31,44998
32,67402
33,42107
34,36240
35,32235
36,22779
37,23477
38,23908
39,21421
40,22850
41,20738
42,30712
