,city,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43
0,Asheville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3.4339872044851463,5.4116460518550396,6.666956792429207,7.343426229147367,7.568379267836522,7.587817219993427,7.757051142032013,7.949797216161852,8.03947991910045,8.229244416735913,8.45765547870004,8.588210678651517,8.847647355711887,9.056489647157923,9.069122370060645,9.142275641062053,9.291182759820284,9.450852217451484,9.552368574168076,9.467769401256943,9.434043766548907,9.305650551780507,9.075093222568157,9.226410552153677,9.307013259236443,9.28498391497195,8.991686725934825,9.064852065227576,9.532423871145296,9.22197245620589,9.545096851813893,9.585895949678203,9.551942286417393
1,Austin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,3.8918202981106265,5.631211781821365,7.704811922932594,8.357259153499912,8.805824812903607,8.601534339849989,8.64979915596426,8.841881989497114,8.898638793680181,9.095602694505759,8.931287626222456,9.09829086816756,9.277251077258809,9.463198053273784,10.075253595390565,10.522126680921012,10.747465622798657,11.057534548092338,11.103045626263526,10.944241182249895,10.796100157055706,10.930926021749713,10.804075640682992,10.644376729081495,10.398732424335096,10.238422894453766,9.958212452225375,10.278527816830314,10.749334360656016,10.334067948122689,10.188102425938439,10.351437272250447,10.560929832225296
2,Boston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174387269895637,6.182084906716632,8.368693183097793,8.928905412284868,9.471164990258082,9.577757412446818,9.623707509980202,9.48417703760591,9.180602553712227,9.014082149443356,8.804775258867686,8.364275084991524,8.775240458738327,7.681560362559537,7.285506548522786,7.382124365737512,7.176254532017144,7.392647520721623,7.569411792450712,7.651595573857601,7.945201132412759,7.8567067930958405,7.6783263565068856,7.6783263565068856,7.962067308753666,7.645397699428633,7.725330037917135,7.906547232368036,8.04012466444838,8.367764677924308,8.283241441385425,8.467582690862903,8.840145877949938
3,Cambridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174387269895637,6.182084906716632,8.368693183097793,8.928905412284868,9.471164990258082,9.577757412446818,9.623707509980202,9.48417703760591,9.180602553712227,9.014082149443356,8.804775258867686,8.364275084991524,8.775240458738327,7.681560362559537,7.285506548522786,7.382124365737512,7.176254532017144,7.392647520721623,7.569411792450712,7.651595573857601,7.945201132412759,7.8567067930958405,7.6783263565068856,7.6783263565068856,7.962067308753666,7.645397699428633,7.725330037917135,7.906547232368036,8.04012466444838,8.367764677924308,8.283241441385425,8.467582690862903,8.840145877949938
4,Broward County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5649493574615367,4.382026634673881,6.46302945692067,8.056426767522984,8.904086913938967,8.87626525995469,8.739376281635323,8.658519127506672,8.39773375137891,8.37539918579835,8.513787398281405,8.504107951867582,8.59711281459211,8.913550280493675,9.336267928573973,9.976040745217837,10.685423695910133,10.966265388195021,11.142542711115903,11.275606921474713,11.198981549329522,11.043817434556106,10.718675359005099,10.651832893560835,10.200364720227393,9.926569111979449,10.102912017229745,9.759617182116425,9.863030074904852,9.713778777308155,9.649755919453895,9.779340559793246,9.907379967251472,10.050268283744323
5,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,4.07753744390572,6.893656354602635,8.17413934342947,8.804024902413179,9.169205828617628,9.159678457173955,9.513920399580737,9.775483711951761,9.695417325719395,9.708141544619421,9.68744373833714,9.206031100388085,8.922391597295857,8.639056779173078,8.379997952238393,8.520188700396035,8.630164670075398,8.806274284781725,8.949365142352965,9.202005735186125,9.264733855806515,9.405660414555793,9.395491255780296,9.559799343294607,9.507700460979235,9.708202329350314,9.389239411968807,9.472012088995733,9.544237868224927,9.53690656247793,9.79305865876674,10.14439243342898,10.352490962658775
6,Clark County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,3.7376696182833684,4.700480365792417,6.371611847231857,7.002155954403621,6.90875477931522,6.794586580876499,6.774223886357614,6.71174039505618,6.516193076042964,6.633318433280377,6.81783057145415,6.714170529909472,6.963189985870238,7.329749689041512,7.617267813628347,8.282988692742602,8.567696173589344,8.569026340056254,8.997518369733845,8.863615758890619,8.905444318789714,8.703838719690246,8.532278828834277,8.365672383774996,8.104099056143582,7.902117546276448,7.564238475170491,7.7266536648476425,7.981049759665957,8.12355783506165,8.210668031162976,8.40804774415544,8.6020856584342
7,Columbus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6109179126442243,5.755742213586912,7.172424577124845,7.779466967458324,7.848543482456679,8.51699317141357,8.380685946761574,8.281977058867758,8.335191583433202,8.254008590564844,8.291295851905407,8.189522110748094,7.994294986415977,7.890956716138919,8.205491613120236,8.61286694148452,8.830981510952498,9.040974526342444,9.14216859187285,9.12063445889169,9.100413892597578,8.9641840463529,8.914626127827137,8.782015969721936,8.917444732471514,9.023649282664286,8.831711917821577,8.840001065843392,8.77971129020447,8.99949587624899,9.194515821629212,9.475700145423472,9.70069794710231
8,Denver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,4.820281565605037,5.84354441703136,7.369600720526409,7.826044013518965,7.753194269884341,7.840312983320164,8.170751423757533,8.08886878916199,8.055475141757274,7.7226775164680035,7.754481547470383,7.666221925662725,7.467942332285852,7.064759027791802,7.195187320178709,7.422971251049421,7.520234556474628,7.9105906122564775,8.0702808933939,8.294549515143679,8.154500175151941,8.025516386489008,7.83002808253384,7.6236419465115715,7.677400430514807,7.575071699507561,7.5595594960077,8.146129510025405,8.332067707289548,8.305484017727691,8.534640105019959,8.814033201652784,9.108529105829499
9,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,3.8501476017100584,4.6443908991413725,5.303304908059076,4.912654885736052,4.48863636973214,3.4011973816621555,2.8903717578961645,2.4849066497880004,2.1972245773362196,1.6094379124341003,2.1972245773362196,3.1354942159291497,3.9318256327243257,4.394449154672439,4.248495242049359,4.852030263919617,5.308267697401205,5.043425116919247,5.58724865840025,6.359573868672378,7.047517221357296,7.299797366758161,7.3343293503005365,7.486613313139955,7.349230824613334,6.937314081223682,6.638567789166521,6.569481420414296,6.586171654854675,6.47543271670409,6.354370040797351,6.423246963533519
