,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,3
10,41
11,109
12,584
13,1098
14,1000
15,892
16,874
17,821
18,675
19,759
20,913
21,823
22,1056
23,1524
24,2032
25,3955
26,5258
27,5265
28,8082
29,7069
30,7371
31,6025
32,5075
33,4296
34,3307
35,2702
36,1927
37,2267
38,2924
39,3372
40,3679
41,4482
42,5442
