,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,34
9,283
10,965
11,1869
12,2770
13,2668
14,2068
15,1932
16,1790
17,1753
18,1641
19,1570
20,1744
21,1791
22,2203
23,2403
24,3029
25,4043
26,4600
27,5519
28,5541
29,5557
30,4815
31,4330
32,3811
33,2930
34,2661
35,2516
36,2990
37,2373
38,3631
39,3589
40,3616
41,5166
42,4712
