city,lat,long,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43
Munich,48.1548703,11.54184265,-0.05137614678899083,-0.6967213114754098,0.425414364640884,-0.30689655172413793,-1.2281879194630871,0.15355805243445692,-0.6993243243243243,-0.6560509554140127,-0.36675461741424803,-0.3588957055214724,0.38311688311688313,0.625615763546798,0.8621495327102804,0.8179871520342612,0.9710743801652892,0.9447415329768271,0.9526411657559198,0.8702594810379242,0.9156829679595279,0.9337016574585635,0.8483754512635379,0.8297872340425532,0.8209606986899564,0.7384393063583815,0.6118067978533095,0.711825487944891,0.6407407407407407,0.49264705882352944,0.4218978102189781,0.32781954887218046,0.24287856071964017,0.22148760330578512,0.21855345911949686,0.19478260869565217,0.181651376146789,0.10141987829614604,0.25795644891122277,0.46384039900249374,0.8092485549132948,0.7676653476540418,0.6485106382978724,0.5677830940988836,0.7576301615798923
Madrid,40.477853350000004,-3.7034351,0.17271662763466042,-0.37490377213240955,-0.3180642777983007,-0.3507868383404864,-0.4114285714285714,-0.3465762273901809,-0.27009936766034326,-0.2830490405117271,-0.3952540747842761,-0.08853681267474371,0.22282051282051282,0.8278867102396514,0.9498771498771499,0.9554967524657205,0.9808963997060984,0.9823629409264768,0.979758740543856,0.9727850615812476,0.9758691206543967,0.9675120519807169,0.9640575079872205,0.939321629452872,0.9404325513196481,0.9401095140314852,0.923842404549147,0.8817161975988979,0.8060490693739425,0.8205128205128205,0.7056451612903226,0.6833677685950413,0.6175417661097852,0.6878962536023054,0.7213433250069387,0.7363661277062209,0.7135766423357665,0.7132547510223719,0.7876485486070524,0.7981801637852594,0.8433462532299741,0.8396923986986099,0.9017665510979033,0.9204584925321292,0.9759835677042187
Athens,37.983941200000004,23.7283052,0.0992835209825998,-0.6357354392892399,-0.46368159203980097,-0.3972093023255814,-0.45288197621225984,-0.3570843570843571,-0.3794835007173601,-0.3549965059399022,-0.3024602026049204,-0.1800818553888131,0.010012515644555695,0.5789141414141414,0.9100327153762269,0.9118236472945892,0.9462894628946289,0.9668995954394998,0.9657164869029276,0.9503377036154151,0.9348837209302325,0.9227953410981697,0.9067211055276382,0.8915733647613435,0.8990526939017169,0.882387361029842,0.8730525100980958,0.835280706754061,0.7826979472140763,0.709463358338142,0.6367358876864581,0.5606796116504854,0.5034379671150971,0.4412777951769496,0.42061114439784303,0.4118908979466748,0.47834931705899447,0.4922126745435016,0.5384615384615384,0.5634517766497462,0.5398882113821138,0.4845890410958904,0.4958165478772854,0.6189996643168849,0.7626134301270417
Stockholm,59.325117199999994,18.0710935,-0.017777777777777778,-0.64,-0.5181347150259067,-0.5188679245283019,-0.7547169811320755,-0.4268292682926829,-0.42528735632183906,-0.542016806722689,-0.927536231884058,-0.23193916349809887,-0.2693726937269373,0.5888888888888889,0.8354430379746836,0.822742474916388,0.85,0.856353591160221,0.8941798941798942,0.8839458413926499,0.8977955911823647,0.9067961165048544,0.8884540117416829,0.8571428571428571,0.8255813953488372,0.8600953895071543,0.8259109311740891,0.7936802973977695,0.7917485265225933,0.7334710743801653,0.744721689059501,0.7333333333333333,0.6962406015037594,0.75037147102526,0.6942590120160214,0.6708683473389355,0.6684709066305818,0.601010101010101,0.6496124031007752,0.5969289827255279,0.5256673511293635,0.4254032258064516,0.4711111111111111,0.6381322957198443,0.6410256410256411
Edinburgh,55.9114378,-3.2622419000000002,0.12131882202304738,-0.40375586854460094,-0.2099767981438515,-0.14501779359430605,-0.11914543960558752,-0.2601902173913043,-0.08030726256983241,-0.1685082872928177,-0.1331293037490436,0.15630159603742433,-0.21865536038764385,0.4789964994165694,0.8877434135166093,0.9340239912758996,0.9734982332155477,0.9879834772812617,0.988272921108742,0.9865940511101802,0.9973782771535581,0.9935038570848559,0.9973644578313253,0.9953536396489416,0.9908286930887652,0.994682618810236,0.995114006514658,0.9929453262786596,0.9667653833497861,0.8943089430894309,0.8139616055846423,0.728796513576936,0.6749845964263709,0.6859231313369488,0.6502795899347623,0.6057949841733625,0.45262826565942715,0.4029206770660471,0.5440900562851783,0.4877885580461693,0.5611814345991561,0.5665878644602049,0.6582718193660443,0.8032128514056225,0.95875
Shanghai,31.2322758,121.4692071,0.3143005450298469,-1.6377590176515733,-1.2059973924380705,-0.2240824211204121,0.654532967032967,0.8598130841121495,0.8927015250544662,0.9397042093287827,0.8987029030265596,0.9045280960174578,0.8748768472906404,0.8711954124393472,0.8502006241640659,0.8311643835616438,0.7867118070249682,0.7857904085257549,0.7857713828936851,0.7160995429151854,0.6476537216828478,0.5687524910322838,0.46626204926811854,0.23266129032258065,0.37314786815845175,0.222,0.3276547416240772,0.1591717890650275,0.19705882352941176,0.04540727902946274,-0.08837525492861999,-0.007525870178739417,-0.10701920050361977,-0.12453531598513011,-0.16403286978508216,-0.10771113831089352,-0.09099181073703366,-0.2596119929453263,-0.1216626213592233,-0.16983695652173914,-0.1330909090909091,0.0694360826811158,-0.6103023516237402,0.18853793552588732,0.5244393329499712
Singapore,1.3217606499999999,104.0686731,-0.018329938900203666,-0.4883720930232558,-0.6576576576576577,-0.4584527220630373,-0.4034582132564842,-0.19005847953216373,-0.14689265536723164,0.17480719794344474,0.13764044943820225,0.14984709480122324,0.09491525423728814,0.33641975308641975,0.6710963455149501,0.5409836065573771,0.6666666666666666,0.6090651558073654,0.6958904109589041,0.7029702970297029,0.6209912536443148,0.572347266881029,0.6646525679758308,0.5460526315789473,0.5333333333333333,0.6291208791208791,0.5864864864864865,0.524547803617571,0.37270341207349084,0.5895691609977324,0.6068376068376068,0.7060041407867494,0.7131474103585658,0.7149321266968326,0.7118959107806692,0.7733050847457628,0.768595041322314,0.6930455635491607,0.7157676348547718,0.7346938775510204,0.7953321364452424,0.7309417040358744,0.7050691244239631,0.8458049886621315,0.9014423076923077
Tokyo,28.056502799999997,145.02961325,-0.04321404456448346,-0.7003636363636364,-0.7401709401709402,-0.7341986455981941,-0.7865372953305033,-0.3447729672650475,-0.29420432220039294,-0.2229625832906202,-0.34688995215311,0.026897788404064555,0.22384174908901613,0.32309746328437916,0.5680835734870316,0.7392870003601009,0.8200642627632988,0.8466464442197505,0.8111305872042068,0.8381361128142244,0.6542354821523708,0.8545673076923077,0.8628318584070797,0.7907348242811502,0.7840490797546013,0.8008316008316009,0.7401642888024211,0.737145207733443,0.6783549783549784,0.756926952141058,0.7650190114068441,0.5979742890533697,0.7075507857416635,0.7238866396761133,0.5757894736842105,0.642691415313225,0.6394299287410926,0.6109576427255985,0.6943303204601479,0.6924225457260171,0.5685185185185185,0.6994281629735526,0.7726960110041265,0.833115610711953,0.8971246006389776
Cape Town,-33.928991999999994,18.417396,0.050709406200735684,-0.6565110565110565,-0.39783577339274345,-0.34586929716399506,-0.36152730787820203,-0.4914760914760915,-0.42857142857142855,-0.3272331154684096,-0.39249286005711953,-0.33059636992221264,-0.24051191526919682,0.10124888492417485,0.6259391063661526,0.8521927449918787,0.9344632768361582,0.9330783938814532,0.9637894736842105,0.9247990815154994,0.9462778204144282,0.9313984168865436,0.927159209157128,0.8486017357762777,0.8513650151668352,0.8479212253829321,0.7953736654804271,0.8048993875765529,0.67984934086629,0.7515923566878981,0.7572633552014996,0.7451327433628319,0.6912972085385879,0.7465659340659341,0.6225390359809911,0.6742857142857143,0.608362369337979,0.4829787234042553,0.560596241088788,0.5883092394720302,0.518469069870939,0.41044776119402987,0.48916761687571264,0.6211714132186996,0.7367624810892587
Sydney,-33.76869485,150.8017839,0.09589925734581853,-0.44431903686982693,-0.4283876500857633,-0.24634420697412823,-0.3027351067815661,-0.11986970684039087,-0.11085714285714286,-0.07858707557502738,-0.21995332555425903,-0.18764377259283602,-0.015037593984962405,0.302660406885759,0.657,0.6731898238747553,0.7858171346292296,0.8647277646263104,0.8897777777777778,0.8024956970740104,0.8105081826012058,0.7779632721202003,0.7592044011849344,0.6962616822429907,0.5820364606491775,0.5450741726892354,0.46893203883495144,0.3952513966480447,0.31022530329289427,0.41793833696667704,0.3957942170484416,0.4697674418604651,0.5204630012401819,0.6435114503816793,0.6915573494786411,0.6520185780635941,0.6149486362026213,0.5859253499222395,0.5911764705882353,0.6088144858216604,0.5940877304513669,0.5869349230004968,0.6023188405797102,0.9562224669603524,0.9994609164420485
