city,lat,long,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10
Asheville,35.53627025,-82.5654167,-0.439766081871345,-0.5750414593698175,0.17076665870551708,0.9226866392848514,0.7098515519568152,0.25253378378378377,-0.011091986995601454,-0.19314507436947617,0.04342921601804851,0.3048128342245989
Austin,30.30754155,-97.74864755,-0.3692478284975051,-0.49096385542168675,0.31322628354109444,0.8505079825834543,0.5422459893048128,0.23108648021652275,0.17702423929860753,0.009367363562313331,0.28844884488448846,0.6369996913262681
Boston,42.31244435,-70.9978686,-0.44156752974107766,-0.3966329966329966,0.30527540729247477,0.9192643391521197,0.880357983984927,0.8224687933425797,0.6260309278350515,0.5470807453416149,0.6087524493794906,0.6995346775980501
Broward County,26.1561242,-80.44833265,-0.7728931364031277,-0.8998275862068965,-0.12213548224628556,0.8199766013454226,0.5758706467661692,-0.053557466770914774,-0.17939972714870395,-0.12386426849619878,-0.52039584841902,0.23534815359176925
Chicago,41.8337853,-87.73209109999999,-0.5792134831460675,-0.8697293895531781,0.1814008840530432,0.8380370021950455,0.8281730346947739,0.7419903600793876,0.4769887880405766,0.44492101684276597,0.47377538254258494,0.678847093307279
Clark County,35.9279907,-114.970542,-0.4946170409104891,-0.6027027027027027,0.07633587786259542,0.7513943112102621,0.48220924057355286,-0.02350560398505604,-0.2032404406999352,-0.31009879253567507,-0.12790012954893418,0.3462212358369349
Columbus,39.9829828,-82.9907458,-1.0059464816650148,-0.9548272807794509,-0.04181389870435807,0.37926136363636365,0.33745492014425554,0.14565963707699853,-0.11937470393178588,-0.2193103448275862,-0.05437146585471944,0.2761904761904762
Denver,39.76426205,-104.8547867,-0.6326246078773091,-0.5355896720167481,0.07430181911350243,0.800874210781933,0.606817281014665,0.4105936722360469,0.13456018909336484,0.03399104626098491,0.0850925625202988,0.2512150159208983
Hawaii,19.589598,-155.43428965,-0.4792393460565018,-0.44497986191024164,-0.021244995479788194,0.9471319747379386,0.9754379938165579,0.9403552508569648,0.8367635080097746,0.8721165089826725,0.9141347424042272,0.9448517160946351
Jersey City,40.715279800000005,-74.068731,-0.7010309278350515,-0.5400981996726678,0.24856046065259116,0.8094500387296669,0.7627906976744186,0.6080508474576272,0.5193637621023514,0.4633179114342366,0.5662580268534735,0.7261363636363637
Los Angeles,33.9984235,-118.41173615,-0.3616791744840525,-0.35478657667078617,0.24680772086117297,0.7998522622345337,0.6375047415428118,0.5075039627668544,0.3714526815851982,0.32744840749135157,0.33004168002564926,0.7583584675608034
Nashville,36.186640499999996,-86.785177,-0.5269899359560841,-0.4405500586952876,0.2228222109016811,0.9021158367172473,0.7095314699376634,0.45964912280701753,0.26947662804634437,0.25832237174946876,0.3425975414216996,0.5771338425772169
New Orleans,30.032474800000003,-89.88260315,-0.43932946486137975,-0.3721206364284018,0.3852680293096799,0.9532261046404141,0.8582898434363709,0.6903265557609365,0.4870138793458843,0.41168246077365234,0.621642196846112,0.9377973251952249
New York City,40.696788749999996,-73.97963545,-0.42836322159558965,-0.5227254699769969,0.28745523278949464,0.8884735953701471,0.8577220664256513,0.7773036639983073,0.6622088323903299,0.609219833443674,0.7083791765591523,0.9635772357723578
Portland,45.5427086,-122.65438705,-0.24387397899649943,-0.26623235613463625,0.3680726600985222,0.8424538716290806,0.7551443170832758,0.6303206997084548,0.41343586457332054,0.37430282999380293,0.44151469392496223,0.602803738317757
Rhode Island,41.5522451,-71.28868555,-0.6047619047619047,-0.5929752066115702,0.026877470355731226,0.8165185572399373,0.6657391304347826,0.24811050299713316,0.024069121579921828,-0.053505174770552624,0.03911024199462234,0.28741496598639454
Seattle,47.60756895,-122.34206449999999,-0.23261032161555723,-0.39184597961494905,0.4755788712011577,0.8555534603054875,0.7939978887045694,0.7247760490334748,0.5899139527284609,0.5232014948614139,0.49001466771973373,0.599058622165169
Twin Cities MSA,46.4419505,-93.36132345,-0.3939393939393939,-0.4637305699481865,0.1465324384787472,0.7305428384565075,0.5853011408861767,0.5056830844662358,0.3084332191780822,0.24596448748991123,0.2955801104972376,0.4912485414235706
Washington D.C.,38.89374135,-77.01456615000001,-0.2497907949790795,-0.4181258873639375,0.41263940520446096,0.919153553988063,0.8742325212913448,0.7460158252535384,0.5624842211562737,0.37448446521858675,0.5658062275726358,0.7568486302739452
