,city,lat,long,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41
0,Asheville,35.53627025,-82.5654167,0.07563636363636364,-0.42789598108747046,-0.5298701298701298,-0.41369047619047616,-0.7687224669603524,-0.1971326164874552,-0.6033613445378151,-0.5405046480743692,-0.5707154742096506,-0.21158690176322417,-0.2044790652385589,0.3663265306122449,0.819672131147541,0.8925531914893617,0.9239263803680982,0.9407603890362511,0.9302788844621513,0.8982889733840305,0.8446808510638298,0.7905138339920948,0.6827262044653349,0.531615925058548,0.46698564593301434,0.2720379146919431,0.1502835538752363,0.08179419525065963,0.11380880121396054,-0.14595103578154425,-0.05025553662691652,0.09302325581395349,-0.11197916666666667,-0.16182937554969218,-0.1382783882783883,-0.13978494623655913,-0.3915737298636927,0.4342751842751843,-0.5132743362831859,0.019247594050743656,-0.10422049956933678,-0.13922942206654992,-0.028358208955223882
1,Austin,30.30754155,-97.74864755,0.1414419372592185,-0.5150862068965517,-0.3040482342807924,-0.38584316446911865,-0.48653344917463076,-0.5323686214775324,-0.36079545454545453,-0.3359415753781951,-0.4931930693069307,-0.3010552451893234,0.18703326544467075,0.5862628447809627,0.8315643747115828,0.8308004052684904,0.8828413284132841,0.8776881720430108,0.8072783188108662,0.7534376481744903,0.6662850601030338,0.6097820308346624,0.5432852386237513,0.37310098302055406,0.35718216840946615,0.18332381496287836,0.10733778047301394,0.173841059602649,0.16417910447761194,0.1678832116788321,0.18112987769365171,0.224373576309795,0.07572254335260116,0.15975336322869954,0.1294374658656472,0.07253269916765755,-0.22747093023255813,0.5014992503748126,-0.18309002433090024,0.24248704663212436,0.2672924901185771,0.15961945031712474,0.4442964935641367
2,Boston,42.31244435,-70.9978686,0.19934102141680396,-0.6113207547169811,-0.6083916083916084,-0.43119266055045874,-0.4234527687296417,-0.20833333333333334,-0.39215686274509803,-0.2802690582959641,-0.8918128654970761,-0.0582010582010582,-0.02231237322515213,0.6136701337295691,0.8442748091603054,0.8450244698205547,0.9064856711915535,0.9525316455696202,0.9253112033195021,0.9160467587672688,0.8953626634958383,0.9022222222222223,0.8775510204081632,0.855410447761194,0.855327468230694,0.8204868154158215,0.8172757475083057,0.8099173553719008,0.5435393258426966,0.5855263157894737,0.6840551181102362,0.6693711967545639,0.6215139442231076,0.5800865800865801,0.6135693215339233,0.5517241379310345,0.4686299615877081,0.5340466926070039,0.574757281553398,0.6652021089630932,0.5895238095238096,0.5421940928270043,0.5020618556701031
3,Cambridge,42.378330899999995,-71.11219165,0.21212121212121213,-0.358974358974359,-0.4393939393939394,-0.3113207547169811,-0.4782608695652174,-0.3191489361702128,-0.24,-0.02054794520547945,-0.48760330578512395,-0.05325443786982249,0.13580246913580246,0.625,0.8968609865470852,0.8858447488584474,0.9137055837563451,0.9261992619926199,0.9198113207547169,0.9113475177304965,0.9173228346456693,0.9111111111111111,0.8949152542372881,0.9011976047904192,0.8896551724137931,0.8282442748091603,0.8505338078291815,0.7959183673469388,0.6555023923444976,0.7320574162679426,0.7280701754385965,0.7201834862385321,0.7272727272727273,0.6837944664031621,0.680672268907563,0.6867469879518072,0.6270491803278688,0.576,0.6818181818181818,0.7886792452830189,0.7389558232931727,0.648854961832061,0.7008928571428571
4,Broward County,26.1561242,-80.44833265,-0.01830776843146957,-0.8172905525846702,-0.7460580912863071,-0.8025430067314884,-0.9378787878787879,-1.0474820143884893,-0.8065201984408221,-0.6712598425196851,-0.7239819004524887,-0.5714285714285714,-0.5287107258938245,-0.15126512651265125,0.6741333333333334,0.7477797513321492,0.81419624217119,0.864066852367688,0.8021607022282242,0.7239583333333334,0.6425,0.7106208311954849,0.5019857029388404,0.3943196829590489,0.26796805678793256,0.04463519313304721,-0.1472340425531915,-0.2070343725019984,-0.2521246458923513,-0.3926829268292683,-0.2422360248447205,-0.07331378299120235,-0.08231707317073171,0.07072987208427389,-0.04043545878693624,-0.17791411042944785,-0.26384976525821596,-0.7854251012145749,-0.8240837696335078,-0.3801571709233792,-0.44433299899699097,-0.38371040723981903,-0.4249084249084249
5,Chicago,41.8337853,-87.73209109999999,0.00632183908045977,-0.48467966573816157,-0.6858054226475279,-0.6648575305291723,-0.9686411149825784,-0.5667144906743186,-0.9412470023980816,-0.791501976284585,-0.8182941903584673,-0.39624413145539905,-0.11043360433604336,0.5191370911621433,0.8194343727338651,0.7995750708215298,0.8737864077669902,0.8471211118464593,0.8273431994362227,0.7863449087698646,0.8334985133795837,0.8232758620689655,0.8705934850513164,0.8320879120879121,0.8241570635936833,0.8130418394270637,0.7100591715976331,0.6516290726817042,0.4152016546018614,0.4663763909046928,0.5008857395925598,0.5050152638464893,0.4005037783375315,0.5855012140131807,0.44608294930875575,0.47395588925387144,0.3484190948543087,0.5002167316861725,0.27474150664697194,0.5805256064690026,0.42421564295183384,0.30677290836653387,0.3771573604060914
6,Clark County,35.9279907,-114.970542,0.02457372116349047,-0.3814323607427056,-0.6315192743764172,-0.444752915047196,-0.7374631268436578,-0.6432748538011696,-0.5267175572519084,-0.4393232205367561,-0.6078431372549019,-0.23228070175438598,-0.5982694684796045,0.3545401966454598,0.7610513739545998,0.714878892733564,0.8152492668621701,0.7425068119891008,0.735803945008966,0.6116625310173698,0.5829297820823245,0.3765281173594132,0.6030672079386559,0.3407172995780591,0.26153846153846155,-0.10812883435582822,-0.13440111420612813,-0.12311557788944724,-0.2314540059347181,-0.28144078144078144,-0.11027027027027027,-0.2198300283286119,-0.19579646017699115,-0.15754189944134078,-0.17843459222769567,-0.27997565429093124,-0.4403409090909091,-0.1146288209606987,-0.31343283582089554,-0.24973031283710895,-0.08648901355773726,-0.18723175965665237,-0.04
7,Columbus,40.03260525,-83.0437359,-0.3155080213903743,-0.8438818565400844,-1.123076923076923,-0.9392712550607287,-0.8640350877192983,-1.308411214953271,-0.8778877887788779,-0.8048780487804879,-0.29850746268656714,-0.6666666666666666,-0.6408668730650154,0.24175824175824176,0.6419753086419753,0.42138364779874216,0.4115755627009646,0.3069620253164557,0.42592592592592593,0.3946731234866828,0.4683257918552036,0.31794871794871793,0.4376321353065539,0.2509727626459144,0.27850877192982454,0.1896551724137931,0.14989733059548255,-0.1643192488262911,-0.09224318658280922,-0.2850356294536817,-0.009107468123861567,-0.18105263157894738,0.09342560553633218,-0.3076923076923077,-0.0933572710951526,-0.17870722433460076,-0.4731182795698925,0.07394366197183098,-0.3229166666666667,-0.06679389312977099,-0.31210191082802546,0.09461426491994178,-0.08828828828828829
8,Denver,39.76426205,-104.8547867,0.03700097370983447,-0.7085828343313373,-0.6164817749603804,-0.6394230769230769,-0.508495145631068,-0.543046357615894,-0.9681818181818181,-0.28421052631578947,-0.38186813186813184,-0.500651890482399,-0.253125,0.306205493387589,0.7304550758459744,0.7469135802469136,0.8524271844660194,0.8083588175331294,0.7768924302788844,0.7245804540967423,0.7299829642248722,0.6275738585496866,0.5812115891132572,0.4948124501197127,0.5096491228070176,0.4794816414686825,0.4245614035087719,0.3209125475285171,0.13548387096774195,0.1510574018126888,0.1148014440433213,0.13752743233357717,0.10877192982456141,0.0839112343966713,0.06919155134741442,0.032448377581120944,0.00990916597853014,0.18175582990397804,-0.133434420015163,0.12155809267965077,0.0839112343966713,0.06648936170212766,-0.07065669160432253
9,Hawaii,19.589598,-155.43428965,0.18583887043189368,-0.5436456996148908,-0.4360337816703159,-0.4838134838134838,-0.4392464678178964,-0.3380406001765225,-0.3529738743746526,-0.4351617440225035,-0.47113702623906706,-0.4183523893286426,-0.3350589588725913,-0.09800215982721382,0.6201866977829639,0.8679136690647482,0.9470052442727022,0.9502899751449876,0.9645486773929642,0.9647495361781077,0.977431906614786,0.979394887845592,0.9768624459699975,0.974025974025974,0.9640468227424749,0.9673321234119783,0.945478374836173,0.901547491995731,0.8451412158927717,0.8424821002386634,0.8370591157476404,0.8275862068965517,0.8201982067012742,0.8449308755760369,0.8736042876284056,0.9045538178472861,0.9144303797468355,0.909733302940506,0.9028319043907509,0.9137540859944682,0.9184824403998975,0.8802265983274885,0.9078151463827728
