,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,99
10,624
11,14439
12,44345
13,62518
14,66663
15,54092
16,45259
17,28370
18,18980
19,14726
20,11394
21,9255
22,7327
23,5227
24,4612
25,4603
26,4592
27,4575
28,5101
29,4929
30,4562
31,4562
32,4648
33,4229
34,4363
35,5401
36,4864
37,5535
38,5726
39,8956
40,9704
41,9995
42,11183
