,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,30
11,223
12,785
13,1545
14,1935
15,1973
16,2337
17,2834
18,3100
19,3748
20,4710
21,5367
22,6957
23,8573
24,8682
25,9341
26,10841
27,12718
28,14077
29,12935
30,12506
31,10999
32,8734
33,10161
34,11014
35,10774
36,8035
37,8645
38,13799
39,10116
40,13975
41,14557
42,14071
