,new_cases
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,12
10,79
11,640
12,3153
13,7361
14,7159
15,6243
16,5758
17,4436
18,4338
19,4982
20,4934
21,5415
22,7431
23,11341
24,21504
25,43713
26,57887
27,69046
28,78873
29,73055
30,62555
31,45191
32,42269
33,26912
34,20466
35,24413
36,17319
37,19206
38,16543
39,15517
40,17664
41,20077
42,23161
